#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      1.41e+01    1.27e+01      3.50e-01    3.35e-01      4.45e-01    4.02e-01    1.0e-03
   1000      1.65e+00    1.71e+00      9.59e-02    9.78e-02      5.20e-02    5.40e-02    1.0e-03
   2000      1.21e+00    1.28e+00      4.74e-02    4.56e-02      3.83e-02    4.03e-02    1.0e-03
   3000      1.07e+00    1.14e+00      8.74e-02    8.89e-02      3.37e-02    3.60e-02    1.0e-03
   4000      9.39e-01    9.45e-01      4.93e-02    4.93e-02      2.96e-02    2.98e-02    1.0e-03
   5000      8.97e-01    1.10e+00      1.36e-02    1.41e-02      3.02e-02    3.72e-02    8.8e-04
   6000      8.47e-01    9.72e-01      2.08e-02    1.95e-02      2.85e-02    3.27e-02    8.8e-04
   7000      8.22e-01    9.02e-01      1.57e-02    1.51e-02      2.77e-02    3.04e-02    8.8e-04
   8000      7.61e-01    8.46e-01      1.46e-02    1.50e-02      2.56e-02    2.85e-02    8.8e-04
   9000      9.16e-01    8.04e-01      4.12e-03    3.16e-03      3.09e-02    2.71e-02    8.8e-04
  10000      5.78e-01    6.20e-01      1.79e-02    1.80e-02      2.06e-02    2.21e-02    7.7e-04
  11000      6.89e-01    7.19e-01      2.75e-02    2.55e-02      2.45e-02    2.56e-02    7.7e-04
  12000      6.52e-01    5.87e-01      2.69e-02    2.84e-02      2.31e-02    2.07e-02    7.7e-04
  13000      5.81e-01    7.53e-01      2.02e-02    2.02e-02      2.07e-02    2.69e-02    7.7e-04
  14000      7.01e-01    6.45e-01      7.96e-04    2.72e-04      2.52e-02    2.32e-02    7.7e-04
  15000      6.16e-01    6.07e-01      1.28e-02    1.33e-02      2.35e-02    2.31e-02    6.8e-04
  16000      6.42e-01    6.08e-01      2.59e-02    2.52e-02      2.42e-02    2.29e-02    6.8e-04
  17000      6.32e-01    6.66e-01      2.36e-03    2.37e-03      2.42e-02    2.55e-02    6.8e-04
  18000      5.94e-01    5.66e-01      2.09e-02    2.02e-02      2.25e-02    2.14e-02    6.8e-04
  19000      5.52e-01    5.09e-01      4.86e-04    1.61e-03      2.12e-02    1.95e-02    6.8e-04
  20000      4.76e-01    4.59e-01      8.26e-03    8.08e-03      1.94e-02    1.87e-02    6.0e-04
  21000      4.97e-01    5.18e-01      6.96e-03    4.95e-03      2.02e-02    2.11e-02    6.0e-04
  22000      4.65e-01    6.04e-01      7.43e-03    6.61e-03      1.89e-02    2.46e-02    6.0e-04
  23000      5.74e-01    5.19e-01      9.11e-03    9.18e-03      2.34e-02    2.11e-02    6.0e-04
  24000      5.12e-01    5.25e-01      3.57e-03    3.85e-03      2.09e-02    2.14e-02    6.0e-04
  25000      4.51e-01    4.31e-01      5.33e-03    4.92e-03      1.96e-02    1.87e-02    5.3e-04
  26000      4.87e-01    4.14e-01      4.86e-04    1.55e-03      2.12e-02    1.80e-02    5.3e-04
  27000      4.02e-01    3.78e-01      3.25e-03    3.05e-03      1.75e-02    1.65e-02    5.3e-04
  28000      4.43e-01    4.75e-01      4.89e-03    5.28e-03      1.92e-02    2.06e-02    5.3e-04
  29000      4.21e-01    4.47e-01      1.32e-03    5.53e-04      1.83e-02    1.95e-02    5.3e-04
  30000      3.91e-01    3.77e-01      7.20e-03    7.02e-03      1.81e-02    1.74e-02    4.6e-04
  31000      4.05e-01    4.19e-01      3.15e-04    7.87e-04      1.88e-02    1.94e-02    4.6e-04
  32000      3.90e-01    4.20e-01      4.01e-03    3.75e-03      1.81e-02    1.95e-02    4.6e-04
  33000      4.53e-01    4.55e-01      1.06e-02    9.10e-03      2.08e-02    2.10e-02    4.6e-04
  34000      4.37e-01    4.11e-01      8.32e-04    6.65e-04      2.03e-02    1.91e-02    4.6e-04
  35000      3.61e-01    3.66e-01      2.32e-03    1.74e-03      1.78e-02    1.81e-02    4.1e-04
  36000      3.60e-01    4.24e-01      5.23e-03    5.70e-03      1.78e-02    2.09e-02    4.1e-04
  37000      3.90e-01    3.80e-01      3.47e-03    3.89e-03      1.93e-02    1.88e-02    4.1e-04
  38000      4.15e-01    3.70e-01      6.12e-03    6.88e-03      2.05e-02    1.82e-02    4.1e-04
  39000      4.07e-01    3.82e-01      9.01e-03    8.55e-03      2.00e-02    1.87e-02    4.1e-04
  40000      3.61e-01    3.46e-01      7.21e-03    6.05e-03      1.89e-02    1.81e-02    3.6e-04
  41000      3.38e-01    3.50e-01      1.02e-02    8.73e-03      1.75e-02    1.82e-02    3.6e-04
  42000      3.68e-01    3.76e-01      1.61e-04    1.37e-03      1.94e-02    1.98e-02    3.6e-04
  43000      3.56e-01    3.39e-01      2.32e-03    2.36e-03      1.88e-02    1.79e-02    3.6e-04
  44000      3.14e-01    3.42e-01      4.60e-04    3.27e-04      1.66e-02    1.80e-02    3.6e-04
  45000      3.56e-01    2.72e-01      5.40e-04    3.07e-04      2.00e-02    1.53e-02    3.2e-04
  46000      3.54e-01    3.29e-01      3.25e-03    4.03e-03      1.99e-02    1.84e-02    3.2e-04
  47000      3.13e-01    3.15e-01      1.10e-03    8.28e-04      1.76e-02    1.77e-02    3.2e-04
  48000      3.28e-01    3.33e-01      2.05e-03    1.96e-03      1.84e-02    1.87e-02    3.2e-04
  49000      3.56e-01    3.62e-01      4.48e-03    4.67e-03      1.99e-02    2.03e-02    3.2e-04
  50000      3.17e-01    2.74e-01      4.84e-03    3.68e-03      1.89e-02    1.64e-02    2.8e-04
  51000      2.94e-01    2.97e-01      7.73e-03    7.52e-03      1.73e-02    1.75e-02    2.8e-04
  52000      2.68e-01    2.66e-01      4.50e-03    4.50e-03      1.59e-02    1.58e-02    2.8e-04
  53000      2.94e-01    3.02e-01      4.91e-03    5.35e-03      1.75e-02    1.80e-02    2.8e-04
  54000      3.04e-01    2.94e-01      4.98e-03    4.08e-03      1.81e-02    1.76e-02    2.8e-04
  55000      2.56e-01    2.81e-01      1.64e-03    5.09e-04      1.64e-02    1.80e-02    2.4e-04
  56000      2.86e-01    2.60e-01      1.71e-03    8.60e-04      1.83e-02    1.66e-02    2.4e-04
  57000      2.79e-01    2.68e-01      1.92e-03    2.19e-03      1.78e-02    1.71e-02    2.4e-04
  58000      3.08e-01    2.64e-01      3.71e-03    3.19e-03      1.96e-02    1.68e-02    2.4e-04
  59000      2.68e-01    2.74e-01      1.42e-03    5.50e-04      1.71e-02    1.75e-02    2.4e-04
  60000      2.77e-01    2.36e-01      3.88e-04    6.28e-04      1.89e-02    1.61e-02    2.1e-04
  61000      2.57e-01    2.78e-01      7.00e-04    8.26e-04      1.75e-02    1.89e-02    2.1e-04
  62000      2.42e-01    2.72e-01      3.97e-03    3.43e-03      1.64e-02    1.84e-02    2.1e-04
  63000      2.63e-01    2.81e-01      4.97e-03    4.45e-03      1.78e-02    1.90e-02    2.1e-04
  64000      2.45e-01    2.47e-01      6.75e-03    7.12e-03      1.64e-02    1.65e-02    2.1e-04
  65000      2.25e-01    2.37e-01      9.94e-06    2.37e-04      1.63e-02    1.72e-02    1.9e-04
  66000      2.27e-01    2.04e-01      2.42e-03    2.35e-03      1.64e-02    1.48e-02    1.9e-04
  67000      2.44e-01    2.22e-01      1.23e-03    1.36e-03      1.77e-02    1.61e-02    1.9e-04
  68000      2.37e-01    2.23e-01      2.66e-03    3.27e-03      1.72e-02    1.61e-02    1.9e-04
  69000      2.60e-01    2.25e-01      1.88e-03    1.45e-03      1.89e-02    1.63e-02    1.9e-04
  70000      2.19e-01    2.01e-01      5.16e-03    4.45e-03      1.67e-02    1.54e-02    1.7e-04
  71000      2.37e-01    2.15e-01      4.26e-03    4.18e-03      1.82e-02    1.65e-02    1.7e-04
  72000      2.34e-01    2.03e-01      5.76e-03    5.21e-03      1.78e-02    1.54e-02    1.7e-04
  73000      2.11e-01    2.24e-01      1.38e-03    1.58e-03      1.63e-02    1.73e-02    1.7e-04
  74000      2.06e-01    2.17e-01      9.04e-03    7.80e-03      1.51e-02    1.62e-02    1.7e-04
  75000      2.08e-01    1.94e-01      2.58e-03    2.21e-03      1.71e-02    1.59e-02    1.5e-04
  76000      1.95e-01    2.10e-01      6.06e-03    5.84e-03      1.57e-02    1.70e-02    1.5e-04
  77000      2.15e-01    2.02e-01      2.49e-03    2.61e-03      1.77e-02    1.66e-02    1.5e-04
  78000      2.17e-01    2.01e-01      1.16e-03    8.44e-04      1.79e-02    1.65e-02    1.5e-04
  79000      1.90e-01    1.96e-01      7.56e-04    1.66e-03      1.57e-02    1.61e-02    1.5e-04
  80000      2.21e-01    1.87e-01      1.85e-03    2.32e-03      1.94e-02    1.64e-02    1.3e-04
  81000      2.01e-01    1.77e-01      6.07e-03    5.60e-03      1.72e-02    1.52e-02    1.3e-04
  82000      1.89e-01    1.95e-01      2.04e-03    1.68e-03      1.65e-02    1.71e-02    1.3e-04
  83000      1.71e-01    1.81e-01      2.18e-03    1.96e-03      1.49e-02    1.59e-02    1.3e-04
  84000      1.87e-01    1.86e-01      1.14e-03    1.05e-03      1.64e-02    1.64e-02    1.3e-04
  85000      1.67e-01    1.66e-01      8.25e-04    7.59e-04      1.56e-02    1.55e-02    1.1e-04
  86000      1.86e-01    1.65e-01      2.11e-03    1.29e-03      1.74e-02    1.54e-02    1.1e-04
  87000      1.84e-01    1.75e-01      7.80e-04    1.48e-03      1.72e-02    1.64e-02    1.1e-04
  88000      1.70e-01    1.76e-01      5.14e-04    1.00e-03      1.59e-02    1.65e-02    1.1e-04
  89000      1.55e-01    1.78e-01      5.23e-05    1.91e-04      1.45e-02    1.66e-02    1.1e-04
  90000      1.69e-01    1.63e-01      1.39e-03    1.10e-03      1.68e-02    1.63e-02    9.9e-05
  91000      1.76e-01    1.62e-01      4.98e-04    5.67e-04      1.76e-02    1.61e-02    9.9e-05
  92000      1.66e-01    1.57e-01      4.93e-03    3.79e-03      1.62e-02    1.54e-02    9.9e-05
  93000      1.94e-01    1.55e-01      2.94e-03    1.29e-03      1.92e-02    1.54e-02    9.9e-05
  94000      1.62e-01    1.57e-01      3.79e-03    2.93e-03      1.59e-02    1.55e-02    9.9e-05
  95000      1.47e-01    1.53e-01      7.36e-04    3.71e-04      1.56e-02    1.63e-02    8.8e-05
  96000      1.53e-01    1.57e-01      1.43e-03    1.19e-03      1.62e-02    1.67e-02    8.8e-05
  97000      1.63e-01    1.48e-01      2.60e-03    1.23e-03      1.73e-02    1.57e-02    8.8e-05
  98000      1.42e-01    1.51e-01      3.86e-03    3.29e-03      1.48e-02    1.59e-02    8.8e-05
  99000      1.47e-01    1.37e-01      1.88e-03    1.09e-03      1.56e-02    1.46e-02    8.8e-05
 100000      1.55e-01    1.49e-01      1.30e-03    1.80e-03      1.76e-02    1.68e-02    7.7e-05
 101000      1.59e-01    1.40e-01      3.27e-03    2.54e-03      1.78e-02    1.57e-02    7.7e-05
 102000      1.47e-01    1.46e-01      3.65e-03    3.39e-03      1.64e-02    1.63e-02    7.7e-05
 103000      1.45e-01    1.36e-01      6.20e-05    6.41e-04      1.64e-02    1.54e-02    7.7e-05
 104000      1.47e-01    1.40e-01      2.20e-04    8.61e-05      1.66e-02    1.58e-02    7.7e-05
 105000      1.62e-01    1.37e-01      1.94e-03    1.94e-03      1.95e-02    1.64e-02    6.8e-05
 106000      1.40e-01    1.34e-01      9.60e-04    5.87e-04      1.69e-02    1.61e-02    6.8e-05
 107000      1.28e-01    1.31e-01      2.87e-04    1.08e-03      1.55e-02    1.58e-02    6.8e-05
 108000      1.34e-01    1.25e-01      3.04e-03    2.65e-03      1.60e-02    1.48e-02    6.8e-05
 109000      1.45e-01    1.32e-01      2.02e-03    1.32e-03      1.74e-02    1.58e-02    6.8e-05
 110000      1.15e-01    1.19e-01      1.28e-03    1.36e-03      1.47e-02    1.52e-02    6.0e-05
 111000      1.26e-01    1.22e-01      2.67e-04    1.43e-04      1.62e-02    1.57e-02    6.0e-05
 112000      1.22e-01    1.28e-01      1.74e-03    8.13e-04      1.56e-02    1.65e-02    6.0e-05
 113000      1.24e-01    1.28e-01      1.60e-03    1.59e-03      1.59e-02    1.63e-02    6.0e-05
 114000      1.20e-01    1.26e-01      1.43e-03    9.96e-04      1.54e-02    1.62e-02    6.0e-05
 115000      1.15e-01    1.40e-01      3.99e-04    1.14e-03      1.57e-02    1.91e-02    5.2e-05
 116000      1.11e-01    1.14e-01      3.01e-04    6.03e-05      1.53e-02    1.56e-02    5.2e-05
 117000      1.18e-01    1.17e-01      8.82e-04    2.43e-04      1.62e-02    1.60e-02    5.2e-05
 118000      1.16e-01    1.16e-01      2.76e-03    1.91e-03      1.57e-02    1.57e-02    5.2e-05
 119000      1.09e-01    1.06e-01      2.65e-03    1.86e-03      1.47e-02    1.44e-02    5.2e-05
 120000      9.94e-02    1.06e-01      1.55e-03    1.92e-03      1.44e-02    1.53e-02    4.6e-05
 121000      1.12e-01    1.08e-01      1.25e-03    7.38e-04      1.63e-02    1.58e-02    4.6e-05
 122000      1.17e-01    1.08e-01      1.25e-03    7.40e-04      1.69e-02    1.58e-02    4.6e-05
 123000      1.14e-01    1.13e-01      2.41e-03    1.56e-03      1.64e-02    1.64e-02    4.6e-05
 124000      1.16e-01    9.91e-02      1.78e-03    7.91e-04      1.68e-02    1.44e-02    4.6e-05
 125000      1.01e-01    1.09e-01      2.30e-03    1.91e-03      1.54e-02    1.67e-02    4.1e-05
 126000      1.12e-01    9.92e-02      5.33e-04    7.83e-04      1.74e-02    1.54e-02    4.1e-05
 127000      1.02e-01    9.79e-02      9.43e-04    8.23e-04      1.58e-02    1.52e-02    4.1e-05
 128000      1.02e-01    1.06e-01      3.24e-04    1.75e-04      1.58e-02    1.65e-02    4.1e-05
 129000      1.04e-01    1.05e-01      5.19e-04    5.98e-04      1.62e-02    1.62e-02    4.1e-05
 130000      9.43e-02    9.46e-02      9.08e-05    4.26e-04      1.56e-02    1.56e-02    3.6e-05
 131000      9.24e-02    9.40e-02      4.37e-04    1.48e-03      1.53e-02    1.54e-02    3.6e-05
 132000      8.88e-02    9.75e-02      2.95e-03    1.50e-03      1.42e-02    1.60e-02    3.6e-05
 133000      9.88e-02    9.49e-02      2.82e-03    2.55e-03      1.59e-02    1.53e-02    3.6e-05
 134000      9.82e-02    9.82e-02      1.93e-03    1.64e-03      1.60e-02    1.61e-02    3.6e-05
 135000      8.98e-02    9.11e-02      1.79e-03    1.91e-03      1.56e-02    1.58e-02    3.1e-05
 136000      8.73e-02    9.01e-02      1.41e-03    1.35e-03      1.52e-02    1.57e-02    3.1e-05
 137000      9.05e-02    1.05e-01      2.83e-03    1.42e-03      1.54e-02    1.83e-02    3.1e-05
 138000      8.56e-02    8.93e-02      3.61e-03    2.74e-03      1.42e-02    1.52e-02    3.1e-05
 139000      8.85e-02    1.06e-01      5.18e-04    3.22e-04      1.55e-02    1.86e-02    3.1e-05
 140000      8.59e-02    8.12e-02      3.23e-04    5.63e-04      1.61e-02    1.52e-02    2.8e-05
 141000      8.10e-02    8.78e-02      6.26e-04    4.88e-04      1.51e-02    1.64e-02    2.8e-05
 142000      8.12e-02    8.07e-02      2.07e-04    2.30e-04      1.52e-02    1.51e-02    2.8e-05
 143000      8.85e-02    8.47e-02      6.00e-04    5.95e-04      1.65e-02    1.58e-02    2.8e-05
 144000      8.16e-02    7.53e-02      4.22e-05    3.18e-04      1.53e-02    1.41e-02    2.8e-05
 145000      8.55e-02    8.11e-02      4.92e-04    8.58e-04      1.70e-02    1.61e-02    2.4e-05
 146000      8.12e-02    7.70e-02      2.20e-03    2.46e-03      1.58e-02    1.48e-02    2.4e-05
 147000      8.53e-02    7.78e-02      1.43e-04    2.90e-04      1.70e-02    1.55e-02    2.4e-05
 148000      8.12e-02    7.65e-02      1.14e-03    1.32e-04      1.61e-02    1.52e-02    2.4e-05
 149000      7.75e-02    8.41e-02      2.82e-04    4.32e-04      1.54e-02    1.67e-02    2.4e-05
 150000      7.55e-02    7.70e-02      2.30e-03    2.28e-03      1.55e-02    1.58e-02    2.1e-05
 151000      6.81e-02    7.73e-02      1.41e-03    1.23e-03      1.42e-02    1.62e-02    2.1e-05
 152000      7.21e-02    7.52e-02      1.65e-04    1.29e-05      1.53e-02    1.59e-02    2.1e-05
 153000      7.04e-02    6.88e-02      5.86e-04    2.89e-04      1.49e-02    1.46e-02    2.1e-05
 154000      7.36e-02    7.45e-02      1.61e-03    1.62e-03      1.53e-02    1.55e-02    2.1e-05
 155000      7.46e-02    6.88e-02      9.72e-04    9.44e-04      1.67e-02    1.54e-02    1.9e-05
 156000      6.59e-02    7.19e-02      1.55e-03    5.85e-04      1.46e-02    1.61e-02    1.9e-05
 157000      6.53e-02    7.13e-02      5.67e-04    8.40e-04      1.46e-02    1.60e-02    1.9e-05
 158000      6.25e-02    6.99e-02      3.55e-04    4.46e-04      1.40e-02    1.57e-02    1.9e-05
 159000      7.08e-02    7.26e-02      1.05e-04    2.71e-04      1.59e-02    1.63e-02    1.9e-05
 160000      6.01e-02    6.08e-02      6.46e-04    1.57e-03      1.43e-02    1.42e-02    1.7e-05
 161000      6.89e-02    5.78e-02      3.32e-04    2.23e-05      1.64e-02    1.38e-02    1.7e-05
 162000      6.32e-02    5.94e-02      8.13e-04    8.59e-04      1.50e-02    1.41e-02    1.7e-05
 163000      6.96e-02    6.06e-02      1.49e-03    3.62e-04      1.64e-02    1.45e-02    1.7e-05
 164000      6.55e-02    5.83e-02      7.36e-04    6.19e-04      1.56e-02    1.39e-02    1.7e-05
 165000      5.81e-02    6.18e-02      1.60e-03    1.29e-03      1.44e-02    1.55e-02    1.5e-05
 166000      6.37e-02    5.81e-02      1.20e-03    6.36e-04      1.60e-02    1.47e-02    1.5e-05
 167000      5.63e-02    6.09e-02      2.01e-03    1.32e-03      1.37e-02    1.52e-02    1.5e-05
 168000      6.29e-02    6.32e-02      2.52e-04    3.83e-04      1.60e-02    1.60e-02    1.5e-05
 169000      5.42e-02    7.10e-02      1.19e-03    7.43e-04      1.36e-02    1.80e-02    1.5e-05
 170000      5.27e-02    5.62e-02      5.57e-05    7.83e-04      1.42e-02    1.51e-02    1.3e-05
 171000      5.96e-02    5.65e-02      1.05e-04    4.64e-04      1.61e-02    1.52e-02    1.3e-05
 172000      5.58e-02    5.61e-02      6.99e-04    4.94e-04      1.50e-02    1.51e-02    1.3e-05
 173000      6.38e-02    5.45e-02      9.67e-04    9.30e-04      1.71e-02    1.46e-02    1.3e-05
 174000      6.04e-02    5.97e-02      3.45e-04    5.71e-05      1.63e-02    1.61e-02    1.3e-05
 175000      5.41e-02    5.00e-02      6.70e-04    7.08e-04      1.54e-02    1.42e-02    1.1e-05
 176000      5.46e-02    5.33e-02      8.16e-04    2.78e-04      1.55e-02    1.52e-02    1.1e-05
 177000      5.59e-02    5.47e-02      2.88e-04    8.87e-04      1.60e-02    1.55e-02    1.1e-05
 178000      6.00e-02    4.80e-02      4.18e-04    9.05e-04      1.71e-02    1.36e-02    1.1e-05
 179000      5.33e-02    5.61e-02      9.24e-04    1.01e-03      1.51e-02    1.59e-02    1.1e-05
 180000      5.11e-02    5.14e-02      1.31e-03    8.04e-04      1.51e-02    1.55e-02    9.9e-06
 181000      5.20e-02    5.45e-02      3.58e-04    8.05e-04      1.58e-02    1.64e-02    9.9e-06
 182000      4.93e-02    5.23e-02      7.17e-04    1.55e-03      1.48e-02    1.54e-02    9.9e-06
 183000      5.25e-02    5.09e-02      2.14e-04    3.48e-04      1.59e-02    1.54e-02    9.9e-06
